Time	USDT_ETH / Free Float Supply (native units)
20210312	20648503443
20210313	20658503443
20210314	20660503443
20210315	20909514432
20210316	21209514432
20210317	21241718229
20210318	21378845073
20210319	21404859908
20210320	21484859908
20210321	21484859908
20210322	21485159608
20210323	21496161167
20210324	21646161167
20210325	21589161167
20210326	21589161167
20210327	21589161167
20210328	21590565112
20210329	21680765247
20210330	21730765247
20210331	21731265247
20210401	21877349729
20210402	21902349729
20210403	21952349729
20210404	21972349729
20210405	22048349729
20210406	22098555124
20210407	22497755124
20210408	22549755124
20210409	22888219659
20210410	22928219659
20210411	22928219659
20210412	23083819160
20210413	23101047080
20210414	23321176950
20210415	23411176950
20210416	23747189636
20210417	23786089636
20210418	23672189636
20210419	23618179923
20210420	23743283217
20210421	23995383217
20210422	23943792112
20210423	24009659534
20210424	24009659534
20210425	24019659534
20210426	24231048418
20210427	24276533964
20210428	24496743854
20210429	24683343854
20210430	24937397805
20210501	24937397805
20210502	24937397805
20210503	25019597805
20210504	25044978924
20210505	25325259925
20210506	25515157268
20210507	25620967308
20210508	25630967308
20210509	25730967308
20210510	26287899652
20210511	26515999652
20210512	26543767684
20210513	26456239148
20210514	26577274527
20210515	26577274527
20210516	26443774527
20210517	27228458379
20210518	27217588379
20210519	27717310227
20210520	27544788637
20210521	27479758272
20210522	27439758272
20210523	27029258272
20210524	26823015025
20210525	27255684484
20210526	27159366492
20210527	27119725964
20210528	27123273866
20210529	27115273866
20210530	27070273866
20210531	29320273966
20210601	30295728364
20210602	30207478194
20210603	30186696276
20210604	30388594377
20210605	30388594377
20210606	30388594377
20210607	30588594377
20210608	30537991550
20210609	30400491550
20210610	30400691850
20210611	30404010531
20210612	30404010531
20210613	30404010531
20210614	30404930967
20210615	30405155217
20210616	30363155217
20210617	30323155222
20210618	30253754623
20210619	30253754623
20210620	30253754623
20210621	30314314623
20210622	30244414623
20210623	30189614623
20210624	30344724513
20210625	30324906805
20210626	30324906805
20210627	30324906805
20210628	30244886705
20210629	30244886705
20210630	30165898370
20210701	30161550863
20210702	30161550863
20210703	30161550863
20210704	30161550863
20210705	30115898370
20210706	30115898370
20210707	30089498345
20210708	29996498345
20210709	29996498345
20210710	29996498345
20210711	29996498345
20210712	29976498345
20210713	29876498345
20210714	29846498345
20210715	29809498345
20210716	29774498345
20210717	29774498345
20210718	29774498345
20210719	29744498345
20210720	29696748095
20210721	29661848469
20210722	29585348469
20210723	29585348469
20210724	29585348469
20210725	29585348469
20210726	29443496119
20210727	29453496119
20210728	29453755859
20210729	29453755859
20210730	29450855859
20210731	29430855859
20210801	29430855859
20210802	29430855859
20210803	29440855859
20210804	29440855859
20210805	30441748147
20210806	30441868147
20210807	30441868147
20210808	30441868147
20210809	30429868147
20210810	30439868147
20210811	30519868147
20210812	30519868147
20210813	30419868147
20210814	30419868147
20210815	30419868147
20210816	30543868147
20210817	30543868147
20210818	30593968147
20210819	30643968147
20210820	30943968147
20210821	30943968147
20210822	30943968147
20210823	30893968147
20210824	33193968148
20210825	33243968148
20210826	33242385288
20210827	33243115288
20210828	33243115288
20210829	33243115288
20210830	33244215261
20210831	33294215162
20210901	33294215162
20210902	33494215063
20210903	33458215063
20210904	33458215063
20210905	33478715063
20210906	33598715063
20210907	33513715063
20210908	33533715063
20210909	33616845063
20210910	33657445063
20210911	33707445063
20210912	33647445063
20210913	33647744861
20210914	33595744861
20210915	33595744861
20210916	33599244861
20210917	33599374861
20210918	33599374861
20210919	33599374861
20210920	33794374861
20210921	33710374886
20210922	33694374861
20210923	33669374861
20210924	33619564861
20210925	33519564861
20210926	33519564861
20210927	33519664861
20210928	33334138711
20210929	33274138711
20210930	32839138711
20211001	32778368106
20211002	32778368106
20211003	32778368106
20211004	32778368106
20211005	32698368106
20211006	32698368106
20211007	32668368106
20211008	32763368106
20211009	32713368106
20211010	32713368106
20211011	33023368106
20211012	33093368106
20211013	33113368106
20211014	32903368106
20211015	32973368106
20211016	33048368106
20211017	33048368106
20211018	33055407966
20211019	33055407966
20211020	33000407966
20211021	33320407966
20211022	33320407966
20211023	33320407966
20211024	33320407966
20211025	33324907966
20211026	33270407966
20211027	33280407966
20211028	33280407966
20211029	33530407966
20211030	33470407966
20211031	33470407966
20211101	33638907966
20211102	33668907966
20211103	33669651840
20211104	34669751840
20211105	34719751840
20211106	34819751840
20211107	34819751840
20211108	34894751840
20211109	37045508644
20211110	37095508644
20211111	37096333244
20211112	37026333244
20211113	37026333244
20211114	37031333244
20211115	36925492434
20211116	36925492434
20211117	36825492434
20211118	36039792406
20211119	36046792406
20211120	36046792406
20211121	36046792406
20211122	35390792406
20211123	35390792406
20211124	35380792406
20211125	35430792406
20211126	35400792406
20211127	35400792406
20211128	35376792406
20211129	35369471411
20211130	36459471411
20211201	36909603243
20211202	36829603243
20211203	36860603243
20211204	36804603243
20211205	36832603243
20211206	36372603243
20211207	36160603243
20211208	36079103243
20211209	37959103293
20211210	37959103293
20211211	37959103293
20211212	37959403293
20211213	37899403293
20211214	37849403293
20211215	37789403293
20211216	37286508241
20211217	37286508241
20211218	37274508241
20211219	37274508241
20211220	37149508241
20211221	37149508241
20211222	37199508241
20211223	38279508241
20211224	38279508241
20211225	38279508241
20211226	38279508241
20211227	38279508241
20211228	38279508241
20211229	38024812211
20211230	37516812211
20211231	37316812211
20220101	37316812211
20220102	37316812211
20220103	37296812211
20220104	37296812211
20220105	37064812211
20220106	37032812211
20220107	37399312311
20220108	37399312311
20220109	37399312311
20220110	37401812311
20220111	37513812311
20220112	37516812311
20220113	37516812311
20220114	37520312311
20220115	37520312311
20220116	37510312311
20220117	37415312311
20220118	37415312311
20220119	37415312311
20220120	37375312311
20220121	37359312311
20220122	39394312411
20220123	39394312411
20220124	39244812411
20220125	39245712411
20220126	39243174207
20220127	39221674207
20220128	39045274207
20220129	39045274207
20220130	39045274207
20220131	38895274207
20220201	38844574207
20220202	38845374207
20220203	38845374207
20220204	38874424217
20220205	38874424217
20220206	38874424217
20220207	38877424217
